Building Use Type,Building Use Subtype,Continent,Building Project Type,Floors Above Ground,Total Embodied Carbon PER m2
Non-residential,Other,Asia-Pacific,New,10.5,259.0
Non-residential,Other,North America,New,3.5,259.0
Non-residential,Public Assembly,North America,New,3.5,258.0
Non-residential,Health Care,North America,New,3.5,258.0
Non-residential,Other,North America,New,25.0,258.0
Residential,Other,Asia-Pacific,New,25.0,257.0
Non-residential,Other,North America,New,10.5,257.0
Non-residential,Other,North America,New,10.5,256.0
Non-residential,Health Care,North America,New,10.5,256.0
Non-residential,Health Care,North America,New,3.5,255.0
Non-residential,Health Care,North America,New,3.5,255.0
Non-residential,Public Assembly,North America,New,10.5,254.0
Non-residential,Public Assembly,North America,New,3.5,254.0
Residential,Other,North America,New,25.0,253.0
Non-residential,Education,North America,New,3.5,252.0
Non-residential,Education,North America,New,3.5,252.0
Non-residential,Education,North America,New,3.5,252.0
Non-residential,Health Care,North America,New,3.5,251.0
Non-residential,Education,North America,New,3.5,248.0
Non-residential,Education,North America,New,3.5,247.0
Non-residential,Health Care,North America,New,25.0,245.0
Non-residential,Public Assembly,North America,New,25.0,242.0
Non-residential,Public Assembly,North America,New,3.5,241.0
Non-residential,Public Assembly,North America,New,10.5,240.0
Non-residential,Education,North America,New,3.5,237.0
Residential,Other,Asia-Pacific,New,20.0,236.0
Non-residential,Health Care,North America,New,20.0,235.0
Non-residential,Education,North America,New,3.5,232.0
Non-residential,Health Care,North America,New,3.5,231.0
Non-residential,Education,North America,New,3.5,230.0
Non-residential,Other,North America,New,20.0,229.0
Non-residential,Office,North America,New,3.5,227.0
Non-residential,Health Care,North America,New,10.5,225.0
Non-residential,Other,North America,New,20.0,224.0
Non-residential,Public Assembly,North America,New,3.5,223.0
Non-residential,Education,North America,New,10.5,221.0
Non-residential,Education,North America,New,3.5,220.0
Non-residential,Education,North America,New,3.5,213.0
Non-residential,Education,North America,New,3.5,211.0
Non-residential,Health Care,North America,New,3.5,211.0
Non-residential,Public Assembly,North America,New,10.5,208.0
Non-residential,Lodging,North America,New,20.0,207.0
Residential,Other,North America,New,20.0,206.0
Non-residential,Other,Asia-Pacific,New,3.5,203.0
Non-residential,Other,North America,New,3.5,203.0
Residential,Other,North America,New,25.0,201.0
Non-residential,Education,North America,New,3.5,200.0
Non-residential,Education,North America,New,3.5,199.0
Non-residential,Public Assembly,North America,New,3.5,194.0
Non-residential,Health Care,North America,New,3.5,192.0
Non-residential,Health Care,North America,New,10.5,191.0
Non-residential,Education,North America,New,3.5,189.0
Residential,Other,North America,New,10.5,184.0
Non-residential,Education,North America,New,3.5,181.0
Non-residential,Office,North America,New,10.5,178.0
Non-residential,Lodging,North America,New,10.5,177.0
Non-residential,Other,North America,New,3.5,177.0
Non-residential,Education,North America,New,3.5,176.0
Non-residential,Mixed,North America,New,10.5,176.0
Non-residential,Other,North America,New,10.5,176.0
Non-residential,Education,North America,New,10.5,173.0
Non-residential,Other,North America,New,3.5,172.0
Non-residential,Education,North America,New,3.5,171.0
Non-residential,Public Assembly,North America,New,25.0,171.0
Non-residential,Other,North America,New,10.5,168.0
Non-residential,Other,North America,New,3.5,168.0
Non-residential,Other,North America,New,10.5,167.0
Non-residential,Education,North America,New,3.5,157.0
Non-residential,Health Care,North America,New,3.5,155.0
Non-residential,Lodging,North America,New,10.5,153.0
Non-residential,Public Assembly,North America,New,3.5,149.0
Non-residential,Education,North America,New,3.5,149.0
Non-residential,Education,North America,New,3.5,143.0
Non-residential,Public Assembly,Africa,New,3.5,142.0
Non-residential,Other,North America,New,3.5,140.0
Non-residential,Education,North America,New,3.5,134.0
Non-residential,Other,North America,New,10.5,133.0
Non-residential,Education,North America,New,3.5,129.0
Non-residential,Education,North America,New,3.5,128.0
Non-residential,Public Assembly,North America,New,3.5,127.0
Residential,Other,North America,New,20.0,126.0
Non-residential,Public Assembly,North America,New,3.5,123.0
Non-residential,Other,North America,New,10.5,119.0
Non-residential,Health Care,North America,New,3.5,118.0
Non-residential,Health Care,North America,New,3.5,117.0
Non-residential,Other,North America,New,3.5,112.0
Residential,Other,Asia-Pacific,New,20.0,111.0
Non-residential,Office,North America,New,3.5,109.0
Non-residential,Education,North America,New,25.0,109.0
Non-residential,Office,North America,New,3.5,106.0
Non-residential,Public Assembly,North America,New,3.5,102.0
Non-residential,Education,North America,New,3.5,100.0
Non-residential,Public Assembly,North America,New,3.5,100.0
Non-residential,Office,North America,New,3.5,93.0
Non-residential,Education,North America,New,3.5,92.0
Non-residential,Other,North America,New,10.5,90.0
Non-residential,Public Assembly,Europe,New,10.5,801.0
Non-residential,Office,Europe,New,25.0,762.25
Non-residential,Office,Middle East,New,25.0,747.72
Non-residential,Office,Europe,New,10.5,638.54
Non-residential,Industrial,Europe,New,3.5,565.61
Non-residential,Office,Europe,New,3.5,556.13
Non-residential,Office,Europe,New,3.5,552.4
