Unique ID,Material,Sub-material,Quantity of declared unit,Units of declared unit,Weight per declared unit - kg,Density of material - kg per m3,Density range - low - kg per m3,Density Range - high - kg per m3,Carbon sequestration included?,Carbon Storage Amount (Kg CO2 per unit),Embodied Carbon (kg CO2e per declared unit),Embodied Carbon per kg (kg CO2e per kg)
edd87c63-9511-4d0b-ad7d-035980ba271f,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,98.27676459,0.0413
de5dce91-5d6e-42ef-b265-69fa2c9472b8,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,109.3753484,0.046
73f42c65-208a-4cb7-b8a1-2ed5e249e2eb,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,120.4739322,0.0506
48ce5fcf-7b54-4cb8-9fea-709d12d197dd,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,131.572516,0.0553
3061a6ba-385c-4c0e-b9ba-c47cbe1345eb,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,142.6710998,0.0599
0a62ff7d-e138-4395-9504-cb61ce849db7,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,153.7696836,0.0646
3ecb644b-2943-4ae0-adeb-8d41ad964fe5,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,164.8682673,0.0693
c2edbcaa-9243-4501-8233-c62e5ef2ba39,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,176.1259516,0.074
dbf44d30-0a0e-4bd0-909e-6abf0a7e204d,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,187.4081128,0.0787
d9575462-187a-4e8c-9d7f-893ca781d4fb,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,198.714751,0.0835
b5b9b5e3-3fb3-4a1d-91ec-1c6e152ae253,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,210.0458662,0.0883
9ba74295-121b-4a3f-97d1-9aef61aa1e1a,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,221.4014584,0.093
d6989d34-60bf-4fef-965a-7b425d806e28,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,232.5612347,0.0977
a5f32ac3-5cd9-4923-8e93-2e95a64db99e,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,243.7210109,0.1024
341e799d-8360-40dd-a681-035f4dc16610,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,254.8807872,0.1071
f27ec34d-156f-4a0d-91c8-1fead8b910fe,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,266.0405635,0.1118
d4443a4c-7cbb-4994-8074-3430e9d3d267,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,277.2003398,0.1165
4872dde3-501d-46d2-9918-b3ad0f4ad25f,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,288.360116,0.1212
3e6881ef-b8b7-4bef-8de8-dc2e9f60a304,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,299.5198923,0.1258
64bbe3f0-f78c-4af1-b09b-0c2441f9a704,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,310.6796686,0.1305
76e2f26c-506b-4adc-99e0-c265872f1a1e,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,79.90618079,0.0336
a0ba85ab-8525-4426-91b8-4cc081363f48,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,89.55036459,0.0376
42c0a65a-ae6f-4eb7-869f-c0a861d917df,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,99.19454838,0.0417
f427587f-b8da-45d1-a395-7f4e4e3ba739,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,108.8387322,0.0457
9c5dda30-fdb9-40c1-9eb0-272d53a0d67b,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,118.482916,0.0498
b177dea5-04fc-40bd-8c70-7330a7922569,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,128.1270998,0.0538
9ec7a712-0dfd-4cbb-af05-c290e8673c65,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,137.7712836,0.0579
2a67e4ef-3fa6-4ef3-a3bc-c86914e0ea3c,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,147.4154673,0.0619
b32f2b53-de51-4b27-b1f1-d9f8bb3e1b3d,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,157.2187516,0.0661
544083b3-c2fc-4328-913f-8550174d4186,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,167.0465128,0.0702
09917c07-894b-4983-9e11-49c0238d0839,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,176.898751,0.0743
0b7b1caf-11ab-4922-8140-4c8ceb0840e3,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,186.7754662,0.0785
d9fe3064-7f40-45d7-916c-ad68b8cf03f0,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,196.6766584,0.0826
454f604b-4013-4c0b-a882-8db1f0a45685,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,206.3820347,0.0867
1caadc61-e15c-4b9c-aa1a-edcb78f822f5,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,216.0874109,0.0908
bda22464-acfb-499e-919c-b660a4e1a1fd,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,225.7927872,0.0949
4fc3f447-7675-4d6f-98d3-c8b9500baa5f,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,235.4981635,0.0989
01cb31d6-38a4-4105-9bdc-c099c14b02e2,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,245.2035398,0.103
f3954cee-1cf7-4800-b8c4-355b78005ed0,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,254.908916,0.1071
b93df69d-582f-4373-8288-ffc14eef2901,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,264.6142923,0.1112
1ea40a2f-1087-4def-8c55-8ffb4c1d7c96,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,274.3196686,0.1153
7b2dfc3b-248c-4e4d-8715-05ce2ff5ae46,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,62.32410079,0.0262
a35da145-6d29-4514-b57c-ba865e198ee5,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,68.45186859,0.0288
55695f44-dd2a-40ab-9ac0-94232ddaa53f,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,74.57963638,0.0313
4f988cdc-2562-4755-b600-e55611a262eb,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,80.70740417,0.0339
cdf7885d-7886-414a-a929-329b361c2f94,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,86.83517197,0.0365
31a65b8c-0ebe-4e44-bcc0-6934bfb71eff,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,92.96293976,0.0391
41e34cb0-9aa2-45a9-a251-73bede889604,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,99.09070755,0.0416
6e4d1342-f64e-42fd-a3f5-6668b6898ebf,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,105.2184753,0.0442
0efb1cb4-e7ec-4086-a483-ccd4282105e0,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,111.5053436,0.0469
62ad3587-3b9d-4b38-96eb-545c26637381,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,117.8166888,0.0495
6d31c930-24f0-49ad-8ce8-cce411213ce1,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,124.152511,0.0522
1f5d702d-a049-4dee-b34c-a9a0a86cef24,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,130.5128102,0.0548
c8955076-c0ee-4315-9da3-c3cc34f1103d,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,136.8975864,0.0575
a7129da3-2664-43f0-a624-37edc4709dff,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,143.0865467,0.0601
f20b676c-3440-44b2-ba1d-40e9f9a14915,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,149.2755069,0.0627
7fef63f9-c962-4444-8aa2-310e5455ded2,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,155.4644672,0.0653
eb9efd16-d157-4181-b9ea-29011ac11ca7,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,161.6534275,0.0679
58bee4b6-9e6b-40c6-8dd5-4147693ef1d1,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,167.8423878,0.0705
3503ce0c-44ca-4554-a187-7574c4409b3a,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,174.031348,0.0731
a79c1124-a240-44ab-84dd-97972df6330e,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,180.2203083,0.0757
826894a9-8181-4c75-b9b1-609159b2b33f,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,186.4092686,0.0783
6a7c9c95-56cf-4419-b0a3-8d43b2a2d3d5,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,115.7813808,0.0486
94d11f03-62dd-4dce-a583-80acad36178f,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,132.6006046,0.0557
36fc25e1-cd73-44d3-83f2-01adf86bb170,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,149.4198284,0.0628
7efe1c29-0800-4646-b62c-dc5ec6a80eeb,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,166.2390522,0.0698
d2745e03-1992-42e9-b833-95954bb0b236,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,183.058276,0.0769
0e47ed38-44f8-40ab-8379-9221439dc0cd,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,199.8774998,0.084
5ef5ee81-dc9e-44c4-8f6b-2a0b6cb93b3c,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,216.6967236,0.091
8a46bfca-ab29-47d3-b283-7d855745da86,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,233.5159473,0.0981
54a179d9-1733-416c-9b33-d5d65f9844dd,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,250.4942716,0.1052
