Building_Use_Type,Building_Use_Subtype,Continent,Building_Project_Type,Gross_Floor_Area_m2,Floors_Above_Ground,Total_Embodied_Carbon_PER_m2
0,0,4,0,3484.5,3.5,344.0
0,1,4,0,6968.0,3.5,343.0
1,9,1,0,6968.0,20.0,342.0
0,12,4,0,69677.5,10.5,341.0
0,9,4,0,32516.0,10.5,341.0
0,9,3,0,13935.5,3.5,340.0
0,3,4,0,69677.5,20.0,336.0
0,9,3,0,92903.0,10.5,335.0
0,9,2,0,6968.0,10.5,329.0
1,9,1,0,92903.0,25.0,328.0
0,9,4,0,32516.0,25.0,328.0
1,9,4,0,3484.5,3.5,328.0
0,12,4,0,6968.0,3.5,323.0
0,12,4,0,1626.5,3.5,322.0
0,8,1,0,69677.5,10.5,321.0
0,9,1,0,6968.0,20.0,317.0
0,12,4,0,697.5,3.5,317.0
1,9,1,0,92903.0,25.0,316.0
0,5,3,0,32516.0,3.5,313.0
0,5,4,0,13935.5,10.5,310.0
0,1,4,0,3484.5,3.5,310.0
1,9,4,0,32516.0,25.0,309.0
0,12,4,0,13935.5,3.5,309.0
0,0,4,0,6968.0,3.5,304.0
0,1,4,0,3484.5,10.5,300.0
0,12,4,0,6968.0,10.5,294.0
0,5,4,0,69677.5,25.0,294.0
0,9,0,0,92903.0,25.0,292.0
1,9,4,0,6968.0,10.5,292.0
0,9,4,0,6968.0,3.5,289.0
0,1,4,0,69677.5,3.5,286.0
0,0,4,0,1626.5,3.5,286.0
0,0,4,0,3484.5,3.5,286.0
0,0,4,0,13935.5,3.5,285.0
0,9,4,0,13935.5,10.5,285.0
0,9,4,0,92903.0,25.0,283.0
0,0,4,0,1626.5,3.5,277.0
0,8,4,0,13935.5,3.5,276.0
0,0,4,0,3484.5,3.5,274.0
0,0,4,0,6968.0,3.5,273.0
0,9,4,0,13935.5,3.5,272.0
0,9,4,0,92903.0,25.0,266.0
0,0,4,0,6968.0,3.5,266.0
0,9,4,0,13935.5,3.5,264.0
0,0,4,0,6968.0,3.5,262.0
0,9,4,0,32516.0,20.0,261.0
1,9,4,0,6968.0,10.5,260.0
0,5,4,0,69677.5,25.0,260.0
0,9,1,0,69677.5,10.5,259.0
0,9,4,0,32516.0,3.5,259.0
0,12,4,0,32516.0,3.5,258.0
0,1,4,0,3484.5,3.5,258.0
0,9,4,0,69677.5,25.0,258.0
1,9,1,0,69677.5,25.0,257.0
0,9,4,0,32516.0,10.5,257.0
0,9,4,0,69677.5,10.5,256.0
0,1,4,0,92903.0,10.5,256.0
0,1,4,0,1626.5,3.5,255.0
0,1,4,0,1626.5,3.5,255.0
0,12,4,0,69677.5,10.5,254.0
0,12,4,0,13935.5,3.5,254.0
1,9,4,0,32516.0,25.0,253.0
0,0,4,0,3484.5,3.5,252.0
0,0,4,0,6968.0,3.5,252.0
0,0,4,0,13935.5,3.5,252.0
0,1,4,0,13935.5,3.5,251.0
0,0,4,0,13935.5,3.5,248.0
0,0,4,0,6968.0,3.5,247.0
0,1,4,0,92903.0,25.0,245.0
0,12,4,0,92903.0,25.0,242.0
0,12,4,0,69677.5,3.5,241.0
0,12,4,0,32516.0,10.5,240.0
0,0,4,0,32516.0,3.5,237.0
1,9,1,0,13935.5,20.0,236.0
0,1,4,0,69677.5,20.0,235.0
0,0,4,0,6968.0,3.5,232.0
0,1,4,0,32516.0,3.5,231.0
0,0,4,0,6968.0,3.5,230.0
0,9,4,0,69677.5,20.0,229.0
0,8,4,0,32516.0,3.5,227.0
0,1,4,0,32516.0,10.5,225.0
0,9,4,0,92903.0,20.0,224.0
0,12,4,0,1626.5,3.5,223.0
0,0,4,0,13935.5,10.5,221.0
0,0,4,0,3484.5,3.5,220.0
0,0,4,0,32516.0,3.5,213.0
0,0,4,0,6968.0,3.5,211.0
0,1,4,0,697.5,3.5,211.0
0,12,4,0,69677.5,10.5,208.0
0,3,4,0,32516.0,20.0,207.0
1,9,4,0,32516.0,20.0,206.0
0,9,1,0,69677.5,3.5,203.0
0,9,4,0,32516.0,3.5,203.0
1,9,4,0,32516.0,25.0,201.0
0,0,4,0,1626.5,3.5,200.0
0,0,4,0,13935.5,3.5,199.0
0,12,4,0,69677.5,3.5,194.0
0,1,4,0,6968.0,3.5,192.0
0,1,4,0,32516.0,10.5,191.0
0,0,4,0,1626.5,3.5,189.0
1,9,4,0,69677.5,10.5,184.0
0,0,4,0,279.5,3.5,181.0
0,8,4,0,32516.0,10.5,178.0
0,3,4,0,32516.0,10.5,177.0
0,9,4,0,32516.0,3.5,177.0
0,0,4,0,1626.5,3.5,176.0
0,5,4,0,69677.5,10.5,176.0
0,9,4,0,32516.0,10.5,176.0
0,0,4,0,32516.0,10.5,173.0
0,9,4,0,32516.0,3.5,172.0
0,0,4,0,13935.5,3.5,171.0
0,12,4,0,32516.0,25.0,171.0
0,9,4,0,69677.5,10.5,168.0
0,9,4,0,13935.5,3.5,168.0
0,9,4,0,32516.0,10.5,167.0
0,0,4,0,6968.0,3.5,157.0
0,1,4,0,13935.5,3.5,155.0
0,3,4,0,69677.5,10.5,153.0
0,12,4,0,6968.0,3.5,149.0
0,0,4,0,1626.5,3.5,149.0
0,0,4,0,697.5,3.5,143.0
0,12,0,0,6968.0,3.5,142.0
0,9,4,0,13935.5,3.5,140.0
0,0,4,0,1626.5,3.5,134.0
0,9,4,0,32516.0,10.5,133.0
0,0,4,0,1626.5,3.5,129.0
0,0,4,0,6968.0,3.5,128.0
0,12,4,0,697.5,3.5,127.0
1,9,4,0,69677.5,20.0,126.0
0,12,4,0,6968.0,3.5,123.0
0,9,4,0,6968.0,10.5,119.0
0,1,4,0,6968.0,3.5,118.0
0,1,4,0,32516.0,3.5,117.0
0,9,4,0,3484.5,3.5,112.0
1,9,1,0,92903.0,20.0,111.0
0,8,4,0,13935.5,3.5,109.0
0,0,4,0,3484.5,25.0,109.0
0,8,4,0,3484.5,3.5,106.0
0,12,4,0,32516.0,3.5,102.0
0,0,4,0,32516.0,3.5,100.0
0,12,4,0,69677.5,3.5,100.0
0,8,4,0,13935.5,3.5,93.0
0,0,4,0,697.5,3.5,92.0
0,9,4,0,32516.0,10.5,90.0
0,12,2,0,32516.0,10.5,801.0
0,8,2,0,69677.5,25.0,762.25
0,8,3,0,92903.0,25.0,747.72
0,8,2,0,32516.0,10.5,638.54
0,2,2,0,3484.5,3.5,565.61
0,8,2,0,3484.5,3.5,556.13
0,8,2,0,13935.5,3.5,552.4
0,1,2,0,13935.5,10.5,546.67
0,8,2,0,69677.5,20.0,493.44
0,8,1,0,3484.5,10.5,470.0
0,8,2,0,3484.5,3.5,453.53
0,8,1,0,3484.5,10.5,430.0
0,8,1,0,3484.5,10.5,420.0
0,0,4,0,6968.0,3.5,411.0
0,8,1,0,3484.5,10.5,410.0
0,8,2,0,6968.0,3.5,400.14
0,0,2,0,13935.5,10.5,399.0
0,8,2,0,6968.0,3.5,398.45
0,0,4,0,6968.0,3.5,381.0
1,9,2,0,697.5,3.5,353.39
1,9,2,0,6968.0,10.5,321.79
0,8,1,0,3484.5,10.5,320.0
0,8,2,0,13935.5,3.5,309.0
0,8,1,0,3484.5,10.5,290.0
0,8,4,0,6968.0,3.5,274.23
0,11,4,0,1626.5,3.5,273.82
1,9,2,0,6968.0,10.5,261.34
0,8,4,0,6968.0,3.5,259.35
0,0,4,0,69677.5,3.5,259.0
0,0,4,0,69677.5,3.5,254.0
0,11,4,0,1626.5,3.5,244.88
0,8,4,0,32516.0,10.5,237.0
0,8,4,0,32516.0,10.5,237.0
0,8,4,0,32516.0,10.5,237.0
0,8,4,0,32516.0,10.5,237.0
0,8,4,0,32516.0,10.5,232.0
0,8,4,0,32516.0,10.5,232.0
0,8,4,0,69677.5,10.5,229.89
0,8,4,0,69677.5,10.5,229.89
0,8,4,0,69677.5,10.5,225.0
0,8,4,0,69677.5,10.5,222.0
0,12,4,0,1626.5,3.5,209.14
0,8,4,0,32516.0,10.5,192.0
0,8,4,0,32516.0,10.5,191.0
0,8,4,0,32516.0,10.5,191.0
0,8,4,0,32516.0,10.5,191.0
0,8,4,0,69677.5,10.5,186.24
0,8,4,0,69677.5,10.5,185.27
0,8,4,0,32516.0,10.5,183.0
0,8,4,0,32516.0,10.5,183.0
0,8,4,0,6968.0,10.5,181.06
0,8,4,0,6968.0,10.5,178.54
0,8,4,0,69677.5,10.5,177.0
0,8,4,0,69677.5,10.5,177.0
0,0,4,0,6968.0,3.5,175.05
1,9,4,0,279.5,3.5,172.0
0,0,4,0,6968.0,3.5,169.44
1,9,4,0,279.5,3.5,156.0
0,8,4,0,6968.0,10.5,150.23
1,9,4,0,279.5,3.5,149.0
1,9,4,0,279.5,3.5,149.0
0,0,4,0,13935.5,3.5,144.0
0,0,4,0,32516.0,3.5,142.05
0,8,4,0,6968.0,10.5,141.59
0,0,4,0,32516.0,3.5,140.94
1,9,4,0,279.5,3.5,138.0
0,8,4,0,6968.0,10.5,136.97
1,9,4,0,279.5,3.5,133.0
0,8,1,0,3484.5,10.5,130.0
